city,comprehensive,fiance,credit,influence,operation,intelligence,personnel
北京,54.72,8.84,8.73,10.00,8.62,10.00,8.53
上海,58.68,10.00,10.00,8.90,10.00,9.79,10.00
广州,38.51,6.52,6.67,5.39,6.57,6.94,6.41
深圳,44.77,7.48,7.66,7.54,7.30,7.88,6.90
成都,30.07,5.29,5.44,4.60,5.21,4.73,4.79
杭州,29.76,5.05,4.93,4.76,5.03,5.03,4.96
武汉,27.35,4.78,4.90,4.30,4.74,4.19,4.46
天津,24.61,4.12,4.16,4.02,4.09,4.09,4.13
南京,27.04,4.61,4.75,4.27,4.60,4.26,4.55
重庆,24.94,4.20,4.29,4.08,4.18,4.04,4.14
西安,25.63,4.51,4.63,4.20,4.45,4.00,3.83
长沙,22.67,3.87,3.89,3.70,3.83,3.72,3.66
青岛,24.96,4.23,4.41,4.03,4.28,3.86,4.14
沈阳,23.37,3.99,4.14,3.77,4.02,3.62,3.83
大连,22.02,3.74,3.83,3.59,3.75,3.48,3.64
厦门,21.00,3.46,3.47,3.44,3.44,3.55,3.63
苏州,25.90,4.33,4.43,4.11,4.31,4.36,4.37
宁波,22.93,3.86,3.87,3.70,3.90,3.87,3.72
无锡,20.64,3.41,3.42,3.47,3.39,3.51,3.45
福州,21.69,3.65,3.70,3.49,3.64,3.59,3.60
合肥,22.26,3.74,3.77,3.69,3.72,3.69,3.65
郑州,24.55,4.21,4.28,3.98,4.18,3.77,4.12
温州,18.98,3.15,3.14,3.19,3.15,3.23,3.13
佛山,20.52,3.39,3.42,3.44,3.40,3.49,3.38
济南,22.41,3.72,3.79,3.75,3.71,3.60,3.83
东莞,22.91,3.94,4.04,3.27,3.94,3.77,3.95
昆明,22.40,3.78,3.85,3.79,3.77,3.64,3.56
太原,18.93,3.16,3.17,3.15,3.15,3.13,3.17
南昌,19.71,3.32,3.33,3.29,3.31,3.22,3.24
南宁,19.37,3.25,3.27,3.23,3.24,3.18,3.19
贵阳,18.74,3.13,3.14,3.15,3.12,3.12,3.08
海口,18.43,3.07,3.07,3.10,3.06,3.07,3.06
长春,19.65,3.31,3.34,3.30,3.30,3.23,3.18
泉州,19.02,3.15,3.15,3.20,3.15,3.25,3.12
洛阳,18.42,3.06,3.06,3.10,3.06,3.07,3.07
常州,19.60,3.23,3.24,3.32,3.22,3.32,3.26
珠海,19.13,3.17,3.18,3.21,3.16,3.22,3.18
金华,19.17,3.21,3.20,3.19,3.21,3.24,3.12
烟台,18.83,3.13,3.13,3.17,3.12,3.14,3.14
惠州,18.78,3.13,3.14,3.14,3.13,3.13,3.12
徐州,18.56,3.10,3.10,3.09,3.09,3.09,3.09
嘉兴,18.94,3.14,3.14,3.20,3.14,3.21,3.12
潍坊,18.47,3.07,3.07,3.10,3.06,3.10,3.08
南通,18.76,3.11,3.11,3.16,3.11,3.15,3.12
扬州,18.43,3.06,3.06,3.09,3.06,3.08,3.07
汕头,18.48,3.07,3.08,3.08,3.07,3.11,3.07
哈尔滨,21.03,3.57,3.63,3.47,3.57,3.38,3.42
乌鲁木齐,18.19,3.03,3.03,3.05,3.03,3.03,3.02
石家庄,20.02,3.33,3.36,3.34,3.33,3.31,3.34
兰州,18.37,3.06,3.07,3.09,3.06,3.05,3.05
桂林,18.17,3.03,3.03,3.03,3.03,3.03,3.02
三亚,18.12,3.02,3.02,3.03,3.02,3.02,3.02
绍兴,18.55,3.08,3.07,3.12,3.08,3.13,3.07
绵阳,18.29,3.05,3.05,3.06,3.04,3.05,3.04
泰州,18.32,3.05,3.05,3.07,3.05,3.07,3.04
银川,18.28,3.05,3.05,3.06,3.05,3.04,3.03
中山,19.34,3.20,3.21,3.25,3.20,3.28,3.21
保定,18.36,3.06,3.06,3.07,3.05,3.07,3.06
西宁,18.04,3.00,3.00,3.01,3.00,3.01,3.00
芜湖,18.33,3.05,3.05,3.07,3.04,3.07,3.05
赣州,18.39,3.08,3.09,3.06,3.08,3.05,3.03
宜昌,18.24,3.04,3.04,3.05,3.04,3.04,3.03
莆田,18.12,3.02,3.02,3.02,3.02,3.03,3.02
怀化,18.02,3.00,3.00,3.01,3.00,3.00,3.00
威海,18.29,3.04,3.04,3.07,3.04,3.06,3.04
邯郸,18.14,3.02,3.02,3.03,3.02,3.03,3.02
临沂,18.42,3.07,3.07,3.09,3.06,3.07,3.07
唐山,18.31,3.05,3.05,3.07,3.04,3.06,3.05
台州,18.49,3.07,3.07,3.10,3.07,3.12,3.06
漳州,18.28,3.05,3.05,3.05,3.04,3.06,3.03
湖州,18.40,3.06,3.06,3.08,3.06,3.09,3.05
包头,18.08,3.01,3.01,3.02,3.01,3.01,3.01
济宁,18.32,3.05,3.05,3.07,3.04,3.05,3.05
盐城,18.36,3.06,3.06,3.07,3.06,3.06,3.05
鞍山,18.16,3.02,3.03,3.04,3.02,3.03,3.02
廊坊,18.35,3.05,3.06,3.07,3.05,3.06,3.06
衡阳,18.11,3.02,3.02,3.02,3.02,3.02,3.02
梅州,18.06,3.01,3.01,3.02,3.01,3.01,3.01
吉林,18.68,3.13,3.13,3.13,3.12,3.11,3.06
大庆,18.13,3.02,3.02,3.03,3.02,3.02,3.02
淮安,18.17,3.03,3.03,3.03,3.03,3.03,3.02
丽江,18.03,3.00,3.00,3.01,3.00,3.01,3.00
揭阳,18.09,3.01,3.01,3.02,3.01,3.02,3.01
荆州,18.17,3.03,3.03,3.04,3.03,3.03,3.02
榆林,18.05,3.01,3.01,3.01,3.01,3.01,3.00
南充,18.06,3.01,3.01,3.01,3.01,3.01,3.01
遵义,18.06,3.01,3.01,3.01,3.01,3.01,3.01
上饶,18.07,3.01,3.01,3.02,3.01,3.02,3.01
龙岩,18.05,3.01,3.01,3.01,3.01,3.01,3.01
衢州,18.08,3.01,3.01,3.02,3.01,3.02,3.01
赤峰,18.03,3.00,3.00,3.01,3.00,3.01,3.00
湛江,18.24,3.04,3.05,3.04,3.04,3.04,3.03
运城,18.04,3.01,3.01,3.01,3.00,3.01,3.00
宝鸡,18.07,3.01,3.01,3.02,3.01,3.02,3.01
岳阳,18.10,3.01,3.01,3.02,3.01,3.02,3.01
安阳,18.06,3.01,3.01,3.02,3.01,3.01,3.01
株洲,18.18,3.03,3.03,3.04,3.03,3.03,3.02
镇江,18.43,3.06,3.06,3.11,3.05,3.10,3.05
淄博,18.37,3.05,3.05,3.09,3.05,3.07,3.06
郴州,18.06,3.01,3.01,3.01,3.01,3.01,3.01
南平,18.06,3.01,3.01,3.01,3.01,3.01,3.01
宜春,18.14,3.02,3.02,3.04,3.02,3.03,3.01
常德,18.09,3.02,3.02,3.02,3.01,3.02,3.01
柳州,18.25,3.04,3.05,3.05,3.04,3.04,3.03
咸阳,18.22,3.04,3.04,3.05,3.03,3.04,3.03
宜宾,18.06,3.01,3.01,3.01,3.01,3.01,3.01
泸州,18.08,3.01,3.01,3.02,3.01,3.02,3.01
蚌埠,18.10,3.02,3.01,3.02,3.01,3.02,3.01
邢台,18.13,3.02,3.02,3.03,3.02,3.03,3.02
舟山,18.06,3.01,3.01,3.02,3.01,3.01,3.00
抚顺,18.10,3.02,3.02,3.02,3.01,3.02,3.01
德阳,18.16,3.02,3.02,3.04,3.02,3.03,3.02
张家口,18.03,3.01,3.01,3.01,3.00,3.01,3.00
鄂尔多斯,18.05,3.01,3.01,3.02,3.01,3.01,3.00
齐齐哈尔,18.04,3.01,3.01,3.01,3.01,3.01,3.00
连云港,18.16,3.03,3.03,3.03,3.02,3.03,3.02
呼伦贝尔,18.01,3.00,3.00,3.00,3.00,3.00,3.00
呼和浩特,18.20,3.03,3.03,3.04,3.03,3.04,3.03
秦皇岛,18.15,3.02,3.02,3.03,3.02,3.03,3.02
临汾,18.02,3.00,3.00,3.00,3.00,3.00,3.00
南阳,18.08,3.01,3.01,3.02,3.01,3.02,3.01
新乡,18.12,3.02,3.02,3.03,3.01,3.03,3.02
肇庆,18.19,3.03,3.03,3.04,3.03,3.04,3.03
丹东,18.09,3.01,3.01,3.02,3.01,3.02,3.01
德州,18.15,3.02,3.02,3.04,3.02,3.04,3.02
菏泽,18.08,3.01,3.01,3.02,3.01,3.02,3.01
江门,18.51,3.08,3.08,3.10,3.08,3.10,3.08
黄山,18.06,3.01,3.01,3.02,3.01,3.01,3.01
渭南,18.06,3.01,3.01,3.01,3.01,3.01,3.01
营口,18.13,3.02,3.02,3.03,3.02,3.02,3.02
娄底,18.03,3.00,3.00,3.01,3.00,3.01,3.00
九江,18.17,3.03,3.03,3.03,3.03,3.03,3.02
永州,18.03,3.01,3.01,3.01,3.00,3.01,3.00
邵阳,18.03,3.01,3.01,3.01,3.01,3.01,3.00
清远,18.19,3.03,3.03,3.04,3.03,3.03,3.03
大同,18.03,3.00,3.00,3.01,3.00,3.01,3.00
枣庄,18.06,3.01,3.01,3.01,3.01,3.01,3.01
北海,18.06,3.01,3.01,3.02,3.01,3.01,3.01
丽水,18.08,3.01,3.01,3.02,3.01,3.02,3.01
孝感,18.12,3.02,3.02,3.03,3.01,3.03,3.01
沧州,18.11,3.02,3.02,3.02,3.02,3.02,3.02
玉溪,18.05,3.01,3.01,3.01,3.01,3.01,3.01
聊城,18.12,3.02,3.01,3.03,3.01,3.03,3.02
三明,18.04,3.01,3.01,3.01,3.01,3.01,3.00
开封,18.09,3.01,3.01,3.02,3.01,3.01,3.01
锦州,18.05,3.01,3.01,3.01,3.01,3.01,3.01
汉中,18.03,3.00,3.00,3.01,3.00,3.01,3.00
商丘,18.05,3.01,3.01,3.01,3.01,3.01,3.01
泰安,18.12,3.02,3.02,3.03,3.01,3.03,3.02
通辽,18.01,3.00,3.00,3.00,3.00,3.00,3.00
延安,18.02,3.00,3.00,3.00,3.00,3.00,3.00
曲靖,18.06,3.01,3.01,3.02,3.01,3.01,3.01
东营,18.13,3.02,3.02,3.03,3.01,3.03,3.02
韶关,18.07,3.01,3.01,3.01,3.01,3.01,3.01
拉萨,18.04,3.01,3.01,3.01,3.01,3.01,3.00
襄阳,18.24,3.04,3.04,3.06,3.04,3.04,3.02
湘潭,18.13,3.02,3.02,3.03,3.02,3.03,3.02
盘锦,18.06,3.01,3.01,3.02,3.01,3.01,3.01
黄石,18.07,3.01,3.01,3.02,3.01,3.01,3.01
酒泉,18.01,3.00,3.00,3.00,3.00,3.00,3.00
安庆,18.09,3.01,3.01,3.02,3.01,3.02,3.01
宁德,18.07,3.01,3.01,3.02,3.01,3.02,3.01
四平,18.03,3.00,3.00,3.01,3.00,3.00,3.00
晋中,18.04,3.01,3.01,3.01,3.01,3.01,3.01
