industry,comprehensive,finance,creidt,influence,operation,intelligence,personnel
专业服务(咨询、人力资源、财会),30.50,4.82,4.99,4.05,9.19,3.58,3.87
中介服务,31.20,4.97,7.24,4.16,8.14,3.06,3.63
互联网/电子商务,39.85,8.09,3.78,4.42,10.00,5.47,8.09
交通/运输/物流,32.50,6.55,6.18,5.02,6.72,3.25,4.78
仪器仪表/工业自动化,36.33,4.31,7.29,5.26,4.92,6.56,7.99
会计/审计,33.70,5.04,7.60,6.13,6.38,4.65,3.90
保险,37.26,3.27,8.59,7.97,5.33,6.46,5.64
信托/担保/拍卖/典当,31.70,4.64,5.98,4.99,5.65,4.15,6.29
公关/市场推广/会展,33.36,5.61,6.85,4.75,6.91,3.89,5.35
农/林/牧/渔,42.65,5.28,7.28,8.33,6.21,9.37,6.18
制药/生物工程,47.65,6.73,7.12,8.10,8.28,9.86,7.56
办公用品及设备,30.73,4.02,6.42,4.00,6.58,4.41,5.30
医疗/护理/卫生,36.16,4.87,6.12,5.01,8.67,5.05,6.44
医疗设备/器械,34.81,4.83,6.36,4.35,7.29,5.15,6.83
印刷/包装/造纸,36.01,5.22,6.15,4.86,6.61,5.81,7.36
原材料和加工,35.73,5.86,3.89,5.73,6.34,7.25,6.66
外包服务,29.88,3.22,5.76,4.09,6.69,4.22,5.90
多元化业务集团公司,43.90,5.44,5.92,8.74,7.81,8.12,7.87
奢侈品/收藏品/工艺品/珠宝,35.23,4.39,6.99,4.63,6.31,6.28,6.63
娱乐/休闲/体育,31.65,6.54,6.17,4.40,6.85,3.72,3.97
学术/科研,36.84,3.93,6.45,6.95,7.68,7.20,4.63
家具/家电/玩具/礼品,31.88,5.11,3.87,5.00,7.60,5.10,5.20
家居/室内设计/装潢,30.13,4.67,6.31,3.24,8.00,3.03,4.88
广告,31.87,6.44,5.40,3.30,9.27,3.40,4.06
建筑/建材/工程,32.48,4.82,5.03,5.18,7.39,4.41,5.65
影视/媒体/艺术/文化传播,31.90,4.24,6.07,4.73,8.30,3.89,4.67
快速消费品(食品、饮料、化妆品),42.26,8.19,6.20,6.04,8.44,7.04,6.35
房地产,36.73,5.53,4.90,8.51,7.39,4.69,5.71
批发/零售,30.25,4.78,3.53,4.45,8.56,4.28,4.65
政府/公共事业,41.41,6.67,7.35,9.68,4.82,8.26,4.63
教育/培训/院校,27.84,6.34,3.00,3.36,7.42,3.00,4.72
文字媒体/出版,31.64,4.52,6.55,5.84,6.27,5.00,3.46
新能源,46.02,6.64,6.02,8.50,6.31,10.00,8.55
服装/纺织/皮革,36.55,4.90,6.34,4.61,8.39,5.60,6.71
机械/设备/重工,37.36,4.54,5.15,5.90,8.93,6.13,6.71
检测，认证,38.13,4.32,7.30,5.85,8.61,5.22,6.83
汽车及零配件,39.59,6.33,6.89,7.54,7.71,4.68,6.44
法律,32.99,4.88,4.97,6.52,5.82,5.84,4.96
物业管理/商业中心,35.80,7.05,5.32,6.64,6.04,5.60,5.15
环保,37.25,5.43,4.13,6.21,7.32,7.02,7.14
生活服务,31.81,7.19,6.53,4.06,7.28,3.68,3.07
电子技术/半导体/集成电路,39.23,6.52,7.17,5.63,7.47,6.28,6.16
电气/电力/水利,35.05,4.91,5.06,6.53,4.66,6.63,7.26
石油/化工/矿产/地质,41.68,6.93,5.07,7.70,6.82,7.92,7.24
租赁服务,31.46,4.07,7.66,4.34,5.29,4.54,5.56
网络游戏,47.42,10.00,4.82,6.31,8.15,8.14,10.00
美容/保健,29.67,4.46,5.73,3.00,8.79,3.60,4.09
航天/航空,39.99,3.54,7.96,8.41,5.16,8.21,6.71
计算机服务(系统、数据服务、维修),34.38,4.42,6.66,5.00,6.45,5.55,6.30
计算机硬件,38.70,6.71,6.98,5.19,8.78,4.87,6.17
计算机软件,34.80,5.50,3.70,5.01,7.87,5.50,7.22
贸易/进出口,30.84,4.58,5.55,3.86,8.85,3.90,4.10
通信/电信/网络设备,32.47,4.59,4.22,5.11,7.18,5.41,5.96
通信/电信运营、增值服务,33.35,4.75,6.84,5.10,5.43,5.02,6.21
酒店/旅游,34.27,6.96,5.44,5.10,7.68,4.58,4.51
采掘业/冶炼,40.88,4.95,8.60,10.00,3.00,8.01,6.32
金融/投资/证券,36.46,6.29,7.32,5.07,9.03,3.52,5.23
银行,37.09,3.00,7.14,8.89,6.59,5.06,6.41
非盈利机构,38.99,5.33,10.00,8.78,6.53,5.35,3.00
餐饮业,31.00,4.51,6.41,3.71,7.67,4.55,4.15
