province,comprehensive,finance,creidt,influence,operation,intelligence,personnel
上海,43.59,7.21,7.82,5.53,8.57,5.65,8.81
云南,36.13,5.71,4.89,6.78,3.17,7.05,8.53
内蒙古,47.62,10.00,4.31,10.00,3.35,9.96,10.00
北京,40.82,5.73,7.87,5.60,7.45,5.76,8.41
台湾,25.00,3.00,10.00,3.00,3.00,3.00,3.00
吉林,35.77,6.11,3.47,7.42,3.02,8.13,7.62
四川,33.88,4.44,6.84,5.77,3.01,6.23,7.59
天津,38.39,5.74,4.50,6.39,5.35,6.92,9.49
宁夏,31.86,6.52,4.56,6.07,3.00,6.18,5.53
安徽,36.35,5.26,5.56,6.85,3.03,6.82,8.83
山东,34.60,4.65,4.89,6.27,3.07,6.39,9.33
山西,38.08,5.88,6.86,6.73,3.00,7.11,8.50
广东,40.01,5.71,7.77,5.42,6.17,6.43,8.51
广西,35.95,5.76,5.27,6.82,3.03,7.41,7.66
新疆,41.19,8.95,3.00,8.97,3.00,9.24,8.03
江苏,37.81,5.29,6.81,5.89,4.32,6.16,9.34
江西,38.32,7.12,4.13,7.29,3.87,7.45,8.46
河北,37.32,6.85,3.09,6.95,3.07,7.37,9.99
河南,33.16,4.33,4.93,5.97,3.06,6.03,8.84
浙江,47.25,9.44,6.50,6.04,10.00,6.46,8.81
海南,43.97,8.14,5.47,8.55,3.00,9.53,9.28
湖北,32.32,4.09,5.26,5.68,3.05,5.95,8.29
湖南,34.42,5.43,4.98,6.22,3.03,6.62,8.14
甘肃,41.91,9.40,6.24,7.90,3.11,6.66,8.60
福建,34.71,5.12,5.63,5.46,3.03,6.13,9.34
西藏,39.62,9.42,7.36,7.21,3.00,6.37,6.26
贵州,43.05,8.26,5.31,9.11,3.00,10.00,7.37
辽宁,31.36,3.21,5.31,5.89,3.03,5.80,8.12
重庆,35.62,5.01,5.10,6.33,3.03,6.74,9.41
陕西,30.67,3.49,5.61,5.55,3.05,5.97,7.00
青海,41.12,7.61,4.77,9.21,3.00,8.97,7.56
黑龙江,34.51,4.59,4.75,6.42,3.02,6.98,8.75
