province,comprehensive,fiance,credit,influence,operation,intelligence,personnel
上海,46.53,7.81,7.60,7.77,7.89,7.27,8.18
云南,21.34,3.57,3.59,3.72,3.57,3.45,3.44
内蒙古,18.30,3.05,3.04,3.08,3.04,3.05,3.04
北京,43.87,7.01,6.77,8.67,6.92,7.41,7.09
台湾,18.00,3.00,3.00,3.00,3.00,3.00,3.00
吉林,19.74,3.31,3.32,3.38,3.30,3.24,3.19
四川,27.31,4.71,4.73,4.54,4.67,4.25,4.42
天津,22.64,3.77,3.76,3.83,3.76,3.69,3.83
宁夏,18.23,3.04,3.04,3.06,3.04,3.03,3.02
安徽,21.83,3.63,3.62,3.79,3.61,3.61,3.59
山东,28.55,4.69,4.78,5.10,4.72,4.36,4.89
山西,18.82,3.13,3.13,3.17,3.13,3.11,3.15
广东,60.00,10.00,10.00,10.00,10.00,10.00,10.00
广西,19.50,3.26,3.26,3.32,3.25,3.20,3.21
新疆,18.26,3.04,3.04,3.08,3.03,3.04,3.03
江苏,35.20,5.81,5.86,6.12,5.80,5.56,6.04
江西,19.97,3.35,3.35,3.42,3.34,3.26,3.25
河北,20.64,3.41,3.41,3.57,3.39,3.41,3.45
河南,23.54,3.96,3.96,4.06,3.94,3.64,3.97
浙江,33.03,5.50,5.30,5.75,5.56,5.51,5.41
海南,18.39,3.06,3.06,3.11,3.05,3.06,3.06
湖北,25.45,4.36,4.38,4.29,4.34,3.90,4.18
湖南,21.89,3.70,3.68,3.72,3.66,3.56,3.57
甘肃,18.31,3.05,3.05,3.09,3.05,3.04,3.04
福建,23.83,3.93,3.93,4.02,3.92,3.96,4.06
西藏,18.03,3.00,3.00,3.01,3.00,3.01,3.00
贵州,18.66,3.11,3.11,3.16,3.11,3.10,3.07
辽宁,25.32,4.29,4.39,4.30,4.33,3.82,4.19
重庆,22.87,3.82,3.85,3.88,3.83,3.66,3.84
陕西,23.71,4.10,4.13,4.06,4.07,3.69,3.66
青海,18.21,3.03,3.03,3.06,3.03,3.03,3.02
黑龙江,20.37,3.43,3.45,3.44,3.43,3.28,3.34
