industry,comprehensive,finance,creidt,influence,operation,intelligence,personnel
专业服务(咨询、人力资源、财会),31.13,4.70,5.00,3.80,9.20,3.94,4.49
中介服务,30.34,4.57,7.25,3.43,8.15,3.00,3.94
互联网/电子商务,40.49,8.05,3.77,4.32,10.00,6.04,8.31
交通/运输/物流,33.02,6.70,6.24,4.34,6.97,3.28,5.49
仪器仪表/工业自动化,35.17,4.18,7.35,4.80,5.02,6.16,7.66
会计/审计,35.52,5.05,7.68,5.80,6.38,5.37,5.24
保险,43.09,3.72,8.15,9.13,5.57,9.64,6.88
信托/担保/拍卖/典当,34.75,4.71,6.22,4.48,5.83,4.83,8.68
公关/市场推广/会展,33.50,5.58,6.88,4.25,6.93,4.02,5.84
农/林/牧/渔,39.87,5.17,7.42,6.69,6.47,7.86,6.26
制药/生物工程,43.34,6.65,7.24,6.48,8.42,7.65,6.90
办公用品及设备,33.14,4.09,6.39,4.43,6.69,5.52,6.02
医疗/护理/卫生,35.14,4.90,6.17,4.16,8.75,5.01,6.15
医疗设备/器械,35.73,4.82,6.40,4.50,7.49,5.53,6.99
印刷/包装/造纸,35.98,5.37,6.18,4.40,7.03,6.07,6.93
原材料和加工,34.75,6.03,3.94,4.75,6.84,6.57,6.62
外包服务,29.10,3.18,5.77,3.30,6.79,3.72,6.34
多元化业务集团公司,40.99,5.33,6.00,7.31,7.93,7.20,7.22
奢侈品/收藏品/工艺品/珠宝,36.78,4.31,6.97,4.78,6.29,6.36,8.07
娱乐/休闲/体育,32.86,6.52,6.16,4.17,6.82,4.18,5.01
学术/科研,38.75,3.96,6.59,7.06,7.88,7.69,5.57
家具/家电/玩具/礼品,31.74,5.11,3.88,4.59,7.71,5.01,5.44
家居/室内设计/装潢,31.72,4.62,6.35,3.24,8.10,3.48,5.93
广告,33.76,6.42,5.42,3.32,9.36,4.03,5.21
建筑/建材/工程,33.25,4.78,5.08,4.71,7.61,4.65,6.42
影视/媒体/艺术/文化传播,33.26,4.12,6.09,4.48,8.31,4.39,5.87
快速消费品(食品、饮料、化妆品),41.70,8.28,6.24,5.22,8.59,6.73,6.64
房地产,35.44,5.42,5.00,7.19,7.65,4.76,5.42
批发/零售,33.10,4.91,3.49,4.91,8.77,5.31,5.71
政府/公共事业,44.95,7.30,7.44,9.36,5.42,10.00,5.43
教育/培训/院校,29.57,6.35,3.00,3.47,7.35,3.60,5.80
文字媒体/出版,31.84,4.39,6.50,5.51,6.26,5.35,3.83
新能源,43.64,6.53,6.12,6.92,6.42,9.04,8.61
服装/纺织/皮革,35.78,4.80,6.32,4.23,8.45,5.33,6.65
机械/设备/重工,36.45,4.52,5.22,5.05,9.26,5.66,6.74
检测，认证,38.28,4.11,7.35,5.79,8.57,5.43,7.03
汽车及零配件,40.66,6.47,6.95,6.69,8.19,5.16,7.20
法律,30.99,4.23,4.92,6.33,5.64,5.83,4.04
物业管理/商业中心,37.00,7.20,5.21,6.46,6.41,6.25,5.47
环保,37.30,5.41,4.17,5.57,7.57,7.30,7.28
生活服务,34.13,7.30,6.55,4.02,7.37,4.33,4.56
电子技术/半导体/集成电路,38.17,6.51,7.25,4.98,7.62,5.73,6.08
电气/电力/水利,36.01,5.12,5.11,5.70,5.24,7.06,7.78
石油/化工/矿产/地质,38.15,6.90,5.16,5.87,7.09,6.43,6.70
租赁服务,33.30,4.16,7.60,4.50,5.30,5.50,6.24
网络游戏,47.12,10.00,4.78,6.05,8.13,8.16,10.00
美容/保健,30.33,4.27,5.71,3.00,8.73,3.60,5.02
航天/航空,38.46,3.67,7.95,6.95,5.62,7.68,6.59
计算机服务(系统、数据服务、维修),33.00,4.27,6.71,4.34,6.44,5.02,6.22
计算机硬件,38.58,6.82,7.03,4.80,8.93,4.59,6.41
计算机软件,34.18,5.36,3.71,4.53,7.88,5.35,7.35
贸易/进出口,31.69,4.55,5.56,3.78,9.05,4.05,4.70
通信/电信/网络设备,32.10,4.51,4.25,4.67,7.32,5.17,6.18
通信/电信运营、增值服务,33.62,4.72,6.84,4.73,5.44,5.49,6.40
酒店/旅游,34.59,6.95,5.46,4.39,7.86,4.85,5.08
采掘业/冶炼,32.25,4.34,8.95,6.02,3.00,5.11,4.83
金融/投资/证券,39.08,6.24,7.39,5.70,9.03,4.56,6.16
银行,39.59,3.00,6.85,10.00,6.80,6.34,6.60
非盈利机构,36.60,5.16,10.00,7.32,6.29,4.83,3.00
餐饮业,32.17,4.48,6.41,3.36,7.74,5.14,5.04
